frequency,callsign,description
121.500,,Guard
243.000,,Guard
119.705,,Regional Guard
122.255,,Ballonvaren
122.480,,Zweefvliegen (De Voorst/Hilversum/Venlo/Woensdrecht)
122.505,,Zweefvliegen (Haamstede/Hoogeveen/Salland/Veendam)
123.355,,Zweefvliegen (Axel/De Peel/Deelen/Langeveld/Leeuwarden/Malden/Volkel)
123.380,,Zweefvliegen (Gilze-Rijen/Noordkop/Terlet)
123.505,,Zweefvliegen (Castricum/Midden-Zeeland/Schinveld)
129.980,,Zweefvliegen (Nistelrode/Soesterberg)
130.130,,Zweefvliegen (Biddinghuizen/Terlet)
123.430,,MLA en ULA
119.055,Schiphol Approach/Departure,Primary
121.205,Schiphol Approach/Departure,
312.375,Schiphol Approach/Departure,UHF
131.155,Schiphol Approach,
118.405,Schiphol Arrival,
126.680,Schiphol Arrival,
118.105,Schiphol Tower,Zwanenburgbaan
118.280,Schiphol Tower,Polderbaan
119.230,Schiphol Tower,Aalsmeerbaan/Buitenveldertbaan/Oostbaan
135.110,Schiphol Tower,Kaagbaan
362.875,Schiphol Tower,UHF
121.705,Schiphol Ground,Kaagbaan
121.805,Schiphol Ground,Aalsmeerbaan/Buitenveldertbaan/Oostbaan
121.905,Schiphol Ground,Zwanenburgbaan
121.560,Schiphol Ground,Polderbaan
121.590,Schiphol Ground,
121.980,Schiphol Delivery,
121.655,Schiphol Planner,
132.980,Schiphol Arrival Information,
108.400,Schiphol Arrival Information,SPL VOR
122.205,Schiphol Departure Information,
131.355,Schiphol Operational Information,
119.175,Amsterdam Information,Amsterdam Information Noordzee
124.300,Amsterdam Information,Amsterdam Information West
136.650,Amsterdam Information,Amsterdam Information Kanaal
369.625,Amsterdam Information,Amsterdam Information Kanaal UHF
123.705,Amsterdam Radar,Amsterdam CTA West
123.850,Amsterdam Radar,Amsterdam CTA South
124.880,Amsterdam Radar,Amsterdam CTA East
125.750,Amsterdam Radar,Amsterdam CTA West
128.580,Amsterdam Radar,Amsterdam CTA East
130.955,Amsterdam Radar,Amsterdam CTA South
134.375,Amsterdam Radar,Amsterdam CTA East
276.725,Amsterdam Radar,Amsterdam CTA East UHF
387.600,Amsterdam Radar,Amsterdam CTA South/West UHF
118.805,Amsterdam Radar,Amsterdam ACC SUGOL (Kanaal)
120.555,Amsterdam Radar,Amsterdam ACC ARTIP (Lelystad)
127.780,Amsterdam Radar,Amsterdam ACC RIVER (Rotterdam)
132.350,Dutch MIL Information,Dutch MIL Information
341.600,Dutch MIL Information,Dutch MIL Information UHF
125.930,Dutch MIL Radar,Nieuw Milligen South
128.355,Dutch MIL Radar,Nieuw Milligen North
336.325,Dutch MIL Radar,Nieuw Milligen South UHF
397.275,Dutch MIL Radar,Nieuw Milligen North UHF
120.935,Maastricht Radar,MUAC Holstein Sector
125.980,Maastricht Radar,MUAC Olno High Sector
131.380,Maastricht Radar,MUAC Solling High Sector
132.085,Maastricht Radar,MUAC Delta High Sector
132.205,Maastricht Radar,MUAC Koksy Sector
132.315,Maastricht Radar,MUAC Lux High Sector
132.515,Maastricht Radar,MUAC Ruhr Sector
132.755,Maastricht Radar,MUAC Koksy/Nicky High Sector
132.780,Maastricht Radar,MUAC Holstein High Sector
132.855,Maastricht Radar,MUAC Olno Sector
132.865,Maastricht Radar,MUAC Celle High Sector
133.215,Maastricht Radar,MUAC Münster High Sector
133.355,Maastricht Radar,MUAC Lux Sector
133.855,Maastricht Radar,MUAC Münster Sector
133.955,Maastricht Radar,MUAC Celle Sector
134.705,Maastricht Radar,MUAC Jever High Sector
134.710,Maastricht Radar,MUAC Solling Sector
135.490,Maastricht Radar,MUAC Ruhr High Sector
135.510,Maastricht Radar,MUAC Delta Middle Sector
135.960,Maastricht Radar,MUAC Delta Sector
135.980,Maastricht Radar,MUAC Nicky Sector
136.465,Maastricht Radar,MUAC Jever Sector
292.775,Maastricht Radar,MUAC Jever Sector UHF
312.350,Maastricht Radar,MUAC Celle/Holstein/Solling Sector UHF
336.350,Maastricht Radar,MUAC Koksy/Nicky Sector UHF
338.875,Maastricht Radar,MUAC Lux/Olno Sector UHF
342.650,Maastricht Radar,MUAC Münster/Ruhr Sector UHF
359.450,Maastricht Radar,MUAC Delta Sector UHF
118.355,Ameland Radio,
119.655,Drachten Radio,
127.355,Hoogeveen Radio,
131.030,Hilversum Radio,
119.255,Midden-Zeeland Radio,
118.330,Oostwold Radio,
120.655,Seppe Radio,
121.005,Teuge Radio,
119.955,Twente Radio,
119.305,Texel Radio,
134.480,Kleine-Brogel Approach,Budel
134.105,Kleine-Brogel Tower,Budel
122.155,Budel Radio,
123.980,Beek Approach,Primary
340.850,Beek Approach,UHF
120.205,Beek Approach,
119.480,Beek Tower,Primary
362.875,Beek Tower,UHF
121.830,Beek Delivery,
124.580,Maastricht Information,
124.530,Eindhoven Arrival,
132.530,Eindhoven Arrival,VFR-verkeer door Eindhoven TMA
241.550,Eindhoven Arrival,UHF
131.005,Eindhoven Tower,
241.550,Eindhoven Tower,UHF
121.930,Eindhoven Ground,
335.750,Eindhoven Ground,UHF
126.030,Eindhoven Information
120.305,Eelde Approach,
282.350,Eelde Approach,UHF
118.705,Eelde Tower,
362.875,Eelde Tower,UHF
121.705,Eelde Delivery,
133.555,Eelde Information,
